ID	Type	Name	Value
1066.JP	-	スターダスト	0
1066.EN	-	stardust	0
1065.JP	-	素敵な花束	0
1065.EN	-	lovely bouquet	0
1064.JP	-	退芭符	0
1064.EN	-	ohuda	0
1063.JP	-	《ヨワリ・テスカトル》	0
1063.EN	-	<Yohualli Tezcatl>	0
1062.JP	-	バイオプリンター	0
1062.EN	-	bio printer	0
1061.JP	-	野花	0
1061.EN	-	Wildflowers	0
1060.JP	-	名工のリペアキット	0
1060.EN	-	craft repair kit	0
1059.JP	-	プレゼント	0
1059.EN	-	present	0
1058.JP	-	《グリエルゼン》	0
1058.EN	-	<Guliwelzen>	0
1057.JP	-	茶葉	0
1057.EN	-	tea leaf	0
1056.JP	-	コーヒー豆	0
1056.EN	-	coffee beans	0
1055.JP	-	稲	0
1055.EN	-	rice	0
1054.JP	-	万能ムギ	0
1054.EN	-	bannou mugi	0
1053.JP	bottle	醤油	0
1053.EN	bottle	soy sauce	0
1052.JP	bottle	コショウ	0
1052.EN	bottle	pepper	0
1051.JP	-	連装花火ランチャー	0
1051.EN	-	hanabi	0
1050.JP	-	ビジャーキー	0
1050.EN	-	b-jerky	0
1049.JP	-	《邪成鎌ネクロマンティス》	0
1049.EN	-	<Necromantis>	0
1048.JP	-	吸い殻	0
1048.EN	-	suigara	0
1047.JP	-	キセル	0
1047.EN	-	kiseru	0
1046.JP	-	パイプ	0
1046.EN	-	tobacco pipe	0
1045.JP	-	葉巻	0
1045.EN	-	hamaki	0
1044.JP	-	紙巻タバコ	0
1044.EN	-	cigarette	0
1043.JP	-	タバコ	0
1043.EN	-	tobacco	0
1042.JP	-	《ズガイクライ》	0
1042.EN	-	<Zugaikurai>	0
1041.JP	-	ブロンズ硬貨	0
1041.EN	-	bronze coin	0
1040.JP	-	不思議の国のキノコスープ	0
1040.EN	-	soup of wonderland	0
1039.JP	-	《髑髏三日月》	0
1039.EN	-	<Dokuro-Mikaduki>	0
1038.JP	-	《ヘルティアーレ》	0
1038.EN	-	<Heltiarre>	0
1037.JP	-	エレメントアイズ	0
1037.EN	-	Elements Eyes	0
1036.JP	-	揮発油	0
1036.EN	-	gasoline	0
1035.JP	-	精油	0
1035.EN	-	essential oil	0
1034.JP	-	《鎖惨渦》	0
1034.EN	-	<Sasanqua Sickle>	0
1033.JP	spellbook	ハイドロボルトの魔法書	0
1033.EN	spellbook	water beam	0
1032.JP	rod	泡沫の波動の杖	0
1032.EN	rod	bubble ball	0
1031.JP	-	アトミックランチャー	0
1031.EN	-	atomic launcher	0
1030.JP	-	M202スペシャル	0
1030.EN	-	M202 special	0
1029.JP	-	パンツァーファウストＸ	0
1029.EN	-	panzerfaust X	0
1028.JP	-	快眠ブランケット	0
1028.EN	-	pleasant sleep blanket	0
1027.JP	rod	マジックレーザーの杖	0
1027.EN	rod	magic laser	0
1026.JP	rod	猛毒の波動の杖	0
1026.EN	rod	poison ball	0
1025.JP	-	《イェーキュブ・スフィア》	0
1025.EN	-	<Amulet of Yekub>	0
1024.JP	-	研究員の閻魔帳	0
1024.EN	-	researcher's diary	0
1023.JP	-	ファーストエイド	0
1023.EN	-	first aid kit	0
1022.JP	-	特殊矢弾箱	0
1022.EN	-	special ammos box	0
1021.JP	-	コマンドタクト	0
1021.EN	-	Taktstock	0
1020.JP	-	《流星群のセスタス》	0
1020.EN	-	<Cestus of Meteors>	0
1019.JP	-	ヘヴィダンベル	0
1019.EN	-	<Dumbbell of Opatos>	0
1018.JP	-	健康のお守り	0
1018.EN	-	<Amulet of Jure>	0
1017.JP	-	媚赤蝋燭	0
1017.EN	-	<Candle of Luluwy>	0
1016.JP	-	特殊信号拳銃	0
1016.EN	-	<Very pistol of Mani>	0
1015.JP	-	レッドアンダーリム	0
1015.EN	-	<Glasses of Yacatect>	0
1014.JP	-	古霜の栞	0
1014.EN	-	<Bookmark of Itzpalt>	0
1013.JP	-	おさかなマグカップ	0
1013.EN	-	<Mug of Ehekatl>	0
1012.JP	-	輪廻鋏	0
1012.EN	-	<Scissors of Kumiromi>	0
1011.JP	-	魔女の練り菓子	0
1011.EN	-	kneaded sweets of witch	0
